Field Leader Initials,Year,Date,Loc.,Sex,Age,Pup?,New Mark 1?,Mark 1,Mark 1 Position ,New Mark 2?,Mark 2,Mark 2 Position,New Tag1?,Tag1 #,Tag 1 Pos. ,New Tag2?,Tag2 #,Tag 2 Pos. ,Molt (%),Season,St. Length,Crv. Length,Ax. Girth,Mass,Tare,Mass-Tare,Last seen as P,1st seen as W,Range (days),Comments,Entered in Ano 
MV,2019,2/4/2019,ALLs,M,A,,Y,PBA7,L,,,,,,,,,,,,,,,,,,,,,Beta,
CC,2019,2/4/2019,LTC,,25,,N,36,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,30,,Y,X37,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,M,SA4,,Y,PBX16,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,30,,Y,X38,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,W,,N,M13,L,,,,,,,,,,,,,,,,,,1/31/2019,02/04/2019,4,,
CC,2019,2/4/2019,LTC,,25,,Y,X39 ,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,W,,N,X24,L,,,,,,,,,,,,,,,,,,1/28/2019,2/4/2019,,,
CC,2019,2/4/2019,LTC,M,SA4,,Y,PBX17,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,25,,Y,X40,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,M,30,,N,M10,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,30,,Y,X41,R,,,,,,,,,,,,,,,,,,,,,Upside Down Mark,
CC,2019,2/4/2019,LTC,,W,,N,H7,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,W,,N,M8,R,,,,,,,,,,,,,,,,,,02/02/2019,2/4/2019,,,
CC,2019,2/4/2019,LTC,,35,,N,X31 ,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,M,A,,N,PBH33,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTC,,25,,Y,X42,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTU,M,A,,N,PBX80,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,,20,,Y,X43,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,M,SA4,,N,PBX88,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,,35,,N,M28,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,,W,,N,H26,R,,,,,,,,,,,,,,,,,,2/2/2019,2/4/2019,,,
CC,2019,2/4/2019,ALLn,M,SA3,,N,PBA5,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,M,A,,N,PBH7,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,,25,,Y,X44,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,M,A,,N,PBH10,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,ALLn,M,A,,Y,PBX18,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/4/2019,LTU,F,A,1,,,,,,,N,GC932,R1-__,N,G_ _ _ _ ,L_-__,,,,,,,,,,,,"Not sure on ""C""",
CC,2019,2/7/2019,ACU,,W,,N,M6,R,,,,,,,,,,,,,,,,,,1/26/2019,02/07/2019,,,
CC,2019,2/7/2019,ACU,M,A,,N,PBM3,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,ACU,,W,,N,M20,L,,,,,,,,,,,,,,,,,,1/27/2019,02/07/2019,,,
CC,2019,2/7/2019,ACU,,25,,Y,X45,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,ACU,M,A,,N,PBH63,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,ACU,,25,,Y,X46,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,ACU,,W,,N,M14,R,,,,,,,,,,,,,,,,,,1/27/2019,02/07/2019,11,,
CC,2019,2/7/2019,ACU,,30,,N,M19,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,ACU,,28,,N,H10,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/7/2019,DCC,M,A,,Y,PBX18,R,Y,PBX18,L,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTC,,30,,Y,X47,R,,,,,,,,,,,,,,,,,,,,,smudged,
CC,2019,2/8/2019,LTC,,W,,N,X33,L,,,,,,,,,,,,,,,,,,,,,part of mark on flipper,
CC,2019,2/8/2019,LTC,,30,,Y,X48,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTC,,30,,Y,X49,L,,,,,,,,,,,,,,,,,,,,,Looks like X40,
CC,2019,2/8/2019,LTC,,29,,Y,X50,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,M,A,,Y,PBX20,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,M,A,,Y,PBX19,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,25,,Y,X51,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,30,,N,M9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,W,,N,X26,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,25,,Y,X52,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,F,A,1,Y,PU514,L,,,,N,PU514,L4-Si,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,W,,N,X22,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTL,,W,,N,X25,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTC,,30,,N,X39,R,,,,,,,,,,,,,,,,,,,,,Upside down,
CC,2019,2/8/2019,LTC,M,SA4,,N,PBM19,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/8/2019,LTC,,25,,Y,X54,R,,,,,,,,,,,,,,,,,,,,,mark on back,
